Country,BU,BU_CT_high,BU_CT_low,High,High_CT_high,High_CT_low,Low,Low_CT_high,Low_CT_low
AGO,0.02405259376623,0.0351584466632632,0.0305456413065076,0.0279245347206258,0.0355967948908014,0.0316812506032224,0.0242885534934388,0.035089351016211,0.0314285298923319
BDI,0.0266290894560436,0.0312336376652607,0.0279850975658728,0.0348297538898218,0.0295682390012685,0.0281121097338797,0.0276340443190388,0.030814758489651,0.0292680370847548
BEN,0.0602649905906859,0.0618214393206394,0.0795244674291965,0.0539115454210985,0.0555956428092813,0.0543682470963014,0.0505825749649055,0.054967873163635,0.0516752786901737
BFA,0.0742784360619598,0.1131381259156605,0.0961444395438567,0.0796665591524676,0.1168612550317398,0.0998067076020521,0.077262952892537,0.1189369043913606,0.1027463707781701
BWA,0.0502939228339384,0.1494071888696171,0.1475753742805139,0.0496812257545149,0.1348574301904731,0.1423564751211526,0.0511609245925359,0.1282803520677698,0.1538786676476081
CAF,0.0553381652693738,0.0533046974943874,0.0508357869358025,0.0522638042495222,0.0504073848641631,0.0489710103515514,0.0557764219062569,0.0564333927860079,0.0539100259766119
CIV,0.0518676910703729,0.0653457824611541,0.0602595168819521,0.0526700803264132,0.0657954454682139,0.0601981256866018,0.0509614525853406,0.0679588065095142,0.063844438161819
CMR,0.0452574405858191,0.0469473072801859,0.0416935561415262,0.0452827229201861,0.0467972569088364,0.0416088680414684,0.043641373019162,0.051133919398806,0.045668201481777
COD,0.0211786601569839,0.0229786216020786,0.0217410135043086,0.0287470788889962,0.0252743857001167,0.0240349360375748,0.0225835710567564,0.0232385630498525,0.0213530668862015
COG,0.050565874845882,0.0574987611498669,0.0459660031642682,0.0526046847077769,0.0546644956690478,0.0450493928406949,0.0485087510670809,0.0640022530755108,0.0503024163355972
DJI,0.0560034298016321,0.0971871016216018,0.0759297538320539,0.0485505239881122,0.0832864543967415,0.0663537210285863,0.0503395191566115,0.0937040343018316,0.0735360789032608
DZA,0.059105802452248,0.1300514051350388,0.0944867709306569,0.059105802452248,0.1300514051350388,0.094486770930657,0.060097509537782,0.1300651044092168,0.0951775119155031
EGY,0.0588966779653653,0.1150897304925859,0.0931266078852919,0.0588904281415644,0.1146670167903871,0.0931706256774202,0.0589017785586963,0.1151745539965885,0.09336537916144
ERI,0.0515890183260779,0.1193850227820951,0.0866355078871314,0.0533362747816714,0.126861311930701,0.0909834554971351,0.0609887327708497,0.1529771145074988,0.1071950587126519
ETH,0.0228639304755475,0.0236320569839189,0.0231817248479861,0.022007616405776,0.0214817580474014,0.0211053024218965,0.0225432848482476,0.0232133728962267,0.0228346235360354
GAB,0.0411748013376262,0.0609859832103684,0.049963840993956,0.0408963079670075,0.057312673078256,0.0482631679066174,0.0410828525584923,0.0595321664394804,0.0493129205534667
GHA,0.049408784666634,0.0715467008812569,0.0599189058729562,0.0498386105016148,0.072503579030319,0.060480704337993,0.0474953942890303,0.0752056614201883,0.0634642094904707
GIN,0.0314923780429742,0.0361130013187559,0.0326008683942001,0.0313503399441754,0.0367973891385083,0.0323640437348449,0.0315296302772912,0.0406494580042244,0.0353629717041155
GMB,0.051013039820866,0.0463592430182167,0.0408500536174332,0.0563437048349753,0.0455381870719342,0.038479281078712,0.0629617075541881,0.0680301154821139,0.0601822332474058
GNB,0.0393413956741802,0.0576963738600033,0.0472170132386534,0.0468846217943525,0.0582186021154598,0.0566172755025057,0.0580210074822088,0.1003738126383638,0.0706681242166934
GNQ,0.0380405881618019,0.0499542796384595,0.0467834795071181,0.0380838459785734,0.0498842457422415,0.0466332226493054,0.0402338066643055,0.0647500372387335,0.0544217255051621
KEN,0.039012283933732,0.0441475067439644,0.0446426524194497,0.0382055759290741,0.0468397146860116,0.0453612962142147,0.0384263349044063,0.0412324864574132,0.0411419063151006
LBR,0.0489351532679832,0.053504086626523,0.0396023558736845,0.0469983344213212,0.0512959922703644,0.039131483640093,0.0524925008369594,0.0478272324066654,0.0434437269293272
LBY,0.070475277713628,0.1653004635117203,0.117268436653139,0.0703899168369448,0.1650994729151366,0.117268370947668,0.0704822903228548,0.1584670059490928,0.1150900915900903
LSO,0.0472177228693425,0.0675713136998012,0.076294808366698,0.044994289010187,0.0743071516138944,0.0800775309016429,0.0485021221349086,0.0612754658631179,0.0742583262954492
MAR,0.0601793255059499,0.1295638805222556,0.1130835271137221,0.0601874795921401,0.128438830937042,0.1131028909830943,0.0644580825413336,0.1318028448526156,0.1169758781979827
